lat,lng,name,color,note
37.41367550285474,-121.99646905372035,person,blue,
37.41364610918951,-121.99642665218192,person,blue,
37.41355187742603,-121.99627992229362,person,blue,
37.41348870384002,-121.99628154415358,person,blue,
37.41368707414824,-121.99666251344262,person,blue,
37.413625531033944,-121.99673834689855,person,blue,
37.413609678857355,-121.99668693836534,person,blue,
37.413424525037165,-121.99638174918158,person,blue,
37.41354619165582,-121.99659049150041,person,blue,
37.41342889760671,-121.99641371129572,person,blue,
37.4133399359941,-121.9967321489684,person,blue,
37.41332983195918,-121.99669352012315,person,blue,
37.413115693728614,-121.99655658191054,vehicle,blue,
37.413317326591816,-121.99694942196997,vehicle,blue,
37.41333438982595,-121.99699916778413,vehicle,blue,
37.41311477936239,-121.99651517150882,vehicle,blue,
37.41327706983022,-121.99697115036577,vehicle,blue,
