lat,lng,name,color,note
-35.36312201,149.1653183,person,blue,detected
-35.36358862,149.165481,person,blue,detected
-35.36352581,149.16547,person,blue,detected
-35.36338299,149.1654052,person,blue,detected
-35.36310543,149.1653484,person,blue,detected
-35.36343867,149.1654067,person,blue,detected
-35.3633328,149.1653843,person,blue,detected
-35.36361614,149.1654327,person,blue,detected
-35.36316745,149.1653165,person,blue,detected
-35.36347436,149.1653463,person,blue,detected
-35.36332855,149.1652949,person,blue,detected
-35.36339494,149.1653086,person,blue,detected
-35.36317374,149.1652413,person,blue,detected
-35.36315745,149.1651933,person,blue,detected
-35.36322886,149.1651849,person,blue,detected
-35.36316564,149.1651489,person,blue,detected
-35.36364718,149.165217,person,blue,detected
-35.36317492,149.1650848,person,blue,detected
-35.3631413,149.1650988,person,blue,detected
-35.36347779,149.1651354,person,blue,detected
